XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
-1,-10,12,132,-1,-10,132,1
-1,-10,12,132,0,-10,12,0.0909090909090909
-1,-10,12,132,-1,-9,120,0.909090909090909
-1,-10,12,132,0,-9,24,0.181818181818182
-1,-10,12,132,-1,-8,108,0.818181818181818
-1,-10,12,132,0,-8,36,0.272727272727273
-1,-10,12,132,-1,-7,96,0.727272727272727
-1,-10,12,132,0,-7,48,0.363636363636364
-1,-10,12,132,-1,-6,84,0.636363636363636
-1,-10,12,132,0,-6,60,0.454545454545455
-1,-10,12,132,-1,-5,72,0.545454545454545
-1,-10,12,132,0,-5,72,0.545454545454545
-1,-10,12,132,-1,-4,60,0.454545454545455
-1,-10,12,132,0,-4,84,0.636363636363636
-1,-10,12,132,-1,-3,48,0.363636363636364
-1,-10,12,132,0,-3,96,0.727272727272727
-1,-10,12,132,-1,-2,36,0.272727272727273
-1,-10,12,132,0,-2,108,0.818181818181818
-1,-10,12,132,-1,-1,24,0.181818181818182
-1,-10,12,132,0,-1,120,0.909090909090909
-1,-10,12,132,-1,0,12,0.0909090909090909
-1,-10,12,132,0,0,132,1
-2,-9,12,660,-2,-9,660,1
-2,-9,12,660,-1,-9,120,0.181818181818182
-2,-9,12,660,0,-9,12,0.0181818181818182
-2,-9,12,660,-2,-8,540,0.818181818181818
-2,-9,12,660,-1,-8,216,0.327272727272727
-2,-9,12,660,0,-8,36,0.0545454545454545
-2,-9,12,660,-2,-7,432,0.654545454545455
-2,-9,12,660,-1,-7,288,0.436363636363636
-2,-9,12,660,0,-7,72,0.109090909090909
-2,-9,12,660,-2,-6,336,0.509090909090909
-2,-9,12,660,-1,-6,336,0.509090909090909
-2,-9,12,660,0,-6,120,0.181818181818182
-2,-9,12,660,-2,-5,252,0.381818181818182
-2,-9,12,660,-1,-5,360,0.545454545454545
-2,-9,12,660,0,-5,180,0.272727272727273
-2,-9,12,660,-2,-4,180,0.272727272727273
-2,-9,12,660,-1,-4,360,0.545454545454545
-2,-9,12,660,0,-4,252,0.381818181818182
-2,-9,12,660,-2,-3,120,0.181818181818182
-2,-9,12,660,-1,-3,336,0.509090909090909
-2,-9,12,660,0,-3,336,0.509090909090909
-2,-9,12,660,-2,-2,72,0.109090909090909
-2,-9,12,660,-1,-2,288,0.436363636363636
-2,-9,12,660,0,-2,432,0.654545454545455
-2,-9,12,660,-2,-1,36,0.0545454545454545
-2,-9,12,660,-1,-1,216,0.327272727272727
-2,-9,12,660,0,-1,540,0.818181818181818
-2,-9,12,660,-2,0,12,0.0181818181818182
-2,-9,12,660,-1,0,120,0.181818181818182
-2,-9,12,660,0,0,660,1
-7,-5,12,792,-7,-5,792,1
-7,-5,12,792,-6,-5,462,0.583333333333333
-7,-5,12,792,-5,-5,252,0.318181818181818
-7,-5,12,792,-4,-5,126,0.159090909090909
-7,-5,12,792,-3,-5,56,0.0707070707070707
-7,-5,12,792,-2,-5,21,0.0265151515151515
-7,-5,12,792,-1,-5,6,0.00757575757575758
-7,-5,12,792,0,-5,1,0.00126262626262626
-7,-5,12,792,-7,-4,330,0.416666666666667
-7,-5,12,792,-6,-4,420,0.53030303030303
-7,-5,12,792,-5,-4,378,0.477272727272727
-7,-5,12,792,-4,-4,280,0.353535353535354
-7,-5,12,792,-3,-4,175,0.220959595959596
