XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
0,-8,8,1,0,-8,1,1
0,-8,8,1,0,-7,1,1
0,-8,8,1,0,-6,1,1
0,-8,8,1,0,-5,1,1
0,-8,8,1,0,-4,1,1
0,-8,8,1,0,-3,1,1
0,-8,8,1,0,-2,1,1
0,-8,8,1,0,-1,1,1
0,-8,8,1,0,0,1,1
-1,-7,8,8,-1,-7,8,1
-1,-7,8,8,0,-7,1,0.125
-1,-7,8,8,-1,-6,7,0.875
-1,-7,8,8,0,-6,2,0.25
-1,-7,8,8,-1,-5,6,0.75
-1,-7,8,8,0,-5,3,0.375
-1,-7,8,8,-1,-4,5,0.625
-1,-7,8,8,0,-4,4,0.5
-1,-7,8,8,-1,-3,4,0.5
-1,-7,8,8,0,-3,5,0.625
-1,-7,8,8,-1,-2,3,0.375
-1,-7,8,8,0,-2,6,0.75
-1,-7,8,8,-1,-1,2,0.25
-1,-7,8,8,0,-1,7,0.875
-1,-7,8,8,-1,0,1,0.125
-1,-7,8,8,0,0,8,1
0,-7,8,8,0,-7,8,1
0,-7,8,8,0,-6,8,1
0,-7,8,8,0,-5,8,1
0,-7,8,8,0,-4,8,1
0,-7,8,8,0,-3,8,1
0,-7,8,8,0,-2,8,1
0,-7,8,8,0,-1,8,1
0,-7,8,8,0,0,8,1
1,-7,8,8,0,-7,1,0.125
1,-7,8,8,1,-7,8,1
1,-7,8,8,0,-6,2,0.25
1,-7,8,8,1,-6,7,0.875
1,-7,8,8,0,-5,3,0.375
1,-7,8,8,1,-5,6,0.75
1,-7,8,8,0,-4,4,0.5
1,-7,8,8,1,-4,5,0.625
1,-7,8,8,0,-3,5,0.625
1,-7,8,8,1,-3,4,0.5
1,-7,8,8,0,-2,6,0.75
1,-7,8,8,1,-2,3,0.375
1,-7,8,8,0,-1,7,0.875
1,-7,8,8,1,-1,2,0.25
1,-7,8,8,0,0,8,1
1,-7,8,8,1,0,1,0.125
-2,-6,8,28,-2,-6,28,1
-2,-6,8,28,-1,-6,7,0.25
-2,-6,8,28,0,-6,1,0.0357142857142857
-2,-6,8,28,-2,-5,21,0.75
-2,-6,8,28,-1,-5,12,0.428571428571429
-2,-6,8,28,0,-5,3,0.107142857142857
-2,-6,8,28,-2,-4,15,0.535714285714286
-2,-6,8,28,-1,-4,15,0.535714285714286
-2,-6,8,28,0,-4,6,0.214285714285714
-2,-6,8,28,-2,-3,10,0.357142857142857
-2,-6,8,28,-1,-3,16,0.571428571428571
-2,-6,8,28,0,-3,10,0.357142857142857
-2,-6,8,28,-2,-2,6,0.214285714285714
-2,-6,8,28,-1,-2,15,0.535714285714286
-2,-6,8,28,0,-2,15,0.535714285714286
-2,-6,8,28,-2,-1,3,0.107142857142857
-2,-6,8,28,-1,-1,12,0.428571428571429
-2,-6,8,28,0,-1,21,0.75
-2,-6,8,28,-2,0,1,0.0357142857142857
-2,-6,8,28,-1,0,7,0.25
-2,-6,8,28,0,0,28,1
-1,-6,8,56,-1,-6,56,1
-1,-6,8,56,0,-6,8,0.142857142857143
-1,-6,8,56,-1,-5,48,0.857142857142857
-1,-6,8,56,0,-5,16,0.285714285714286
-1,-6,8,56,-1,-4,40,0.714285714285714
-1,-6,8,56,0,-4,24,0.428571428571429
-1,-6,8,56,-1,-3,32,0.571428571428571
-1,-6,8,56,0,-3,32,0.571428571428571
-1,-6,8,56,-1,-2,24,0.428571428571429
-1,-6,8,56,0,-2,40,0.714285714285714
-1,-6,8,56,-1,-1,16,0.285714285714286
-1,-6,8,56,0,-1,48,0.857142857142857
-1,-6,8,56,-1,0,8,0.142857142857143
-1,-6,8,56,0,0,56,1
0,-6,8,92,0,-7,1,0.0108695652173913
0,-6,8,92,-1,-6,7,0.0760869565217391
0,-6,8,92,0,-6,92,1
0,-6,8,92,1,-6,7,0.0760869565217391
0,-6,8,92,-1,-5,12,0.130434782608696
0,-6,8,92,0,-5,82,0.891304347826087
0,-6,8,92,1,-5,12,0.130434782608696
0,-6,8,92,-1,-4,15,0.16304347826087
0,-6,8,92,0,-4,76,0.826086956521739
0,-6,8,92,1,-4,15,0.16304347826087
0,-6,8,92,-1,-3,16,0.173913043478261
0,-6,8,92,0,-3,74,0.804347826086957
0,-6,8,92,1,-3,16,0.173913043478261
0,-6,8,92,-1,-2,15,0.16304347826087
0,-6,8,92,0,-2,76,0.826086956521739
0,-6,8,92,1,-2,15,0.16304347826087
0,-6,8,92,-1,-1,12,0.130434782608696
0,-6,8,92,0,-1,82,0.891304347826087
0,-6,8,92,1,-1,12,0.130434782608696
0,-6,8,92,-1,0,7,0.0760869565217391
0,-6,8,92,0,0,92,1
0,-6,8,92,1,0,7,0.0760869565217391
0,-6,8,92,0,1,1,0.0108695652173913
1,-6,8,56,0,-6,8,0.142857142857143
1,-6,8,56,1,-6,56,1
1,-6,8,56,0,-5,16,0.285714285714286
1,-6,8,56,1,-5,48,0.857142857142857
1,-6,8,56,0,-4,24,0.428571428571429
1,-6,8,56,1,-4,40,0.714285714285714
1,-6,8,56,0,-3,32,0.571428571428571
1,-6,8,56,1,-3,32,0.571428571428571
1,-6,8,56,0,-2,40,0.714285714285714
1,-6,8,56,1,-2,24,0.428571428571429
1,-6,8,56,0,-1,48,0.857142857142857
1,-6,8,56,1,-1,16,0.285714285714286
1,-6,8,56,0,0,56,1
1,-6,8,56,1,0,8,0.142857142857143
2,-6,8,28,0,-6,1,0.0357142857142857
2,-6,8,28,1,-6,7,0.25
2,-6,8,28,2,-6,28,1
2,-6,8,28,0,-5,3,0.107142857142857
2,-6,8,28,1,-5,12,0.428571428571429
2,-6,8,28,2,-5,21,0.75
2,-6,8,28,0,-4,6,0.214285714285714
2,-6,8,28,1,-4,15,0.535714285714286
2,-6,8,28,2,-4,15,0.535714285714286
2,-6,8,28,0,-3,10,0.357142857142857
2,-6,8,28,1,-3,16,0.571428571428571
2,-6,8,28,2,-3,10,0.357142857142857
2,-6,8,28,0,-2,15,0.535714285714286
2,-6,8,28,1,-2,15,0.535714285714286
2,-6,8,28,2,-2,6,0.214285714285714
2,-6,8,28,0,-1,21,0.75
2,-6,8,28,1,-1,12,0.428571428571429
2,-6,8,28,2,-1,3,0.107142857142857
2,-6,8,28,0,0,28,1
2,-6,8,28,1,0,7,0.25
