XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
5,-7,13,10296,0,-7,13,0.00126262626262626
5,-7,13,10296,1,-7,104,0.0101010101010101
5,-7,13,10296,2,-7,468,0.0454545454545455
5,-7,13,10296,3,-7,1560,0.151515151515152
5,-7,13,10296,4,-7,4290,0.416666666666667
5,-7,13,10296,5,-7,10296,1
5,-7,13,10296,0,-6,78,0.00757575757575758
5,-7,13,10296,1,-6,455,0.0441919191919192
5,-7,13,10296,2,-6,1456,0.141414141414141
5,-7,13,10296,3,-6,3276,0.318181818181818
5,-7,13,10296,4,-6,5460,0.53030303030303
5,-7,13,10296,5,-6,6006,0.583333333333333
5,-7,13,10296,0,-5,273,0.0265151515151515
5,-7,13,10296,1,-5,1170,0.113636363636364
5,-7,13,10296,2,-5,2730,0.265151515151515
5,-7,13,10296,3,-5,4368,0.424242424242424
5,-7,13,10296,4,-5,4914,0.477272727272727
5,-7,13,10296,5,-5,3276,0.318181818181818
5,-7,13,10296,0,-4,728,0.0707070707070707
5,-7,13,10296,1,-4,2275,0.220959595959596
5,-7,13,10296,2,-4,3900,0.378787878787879
5,-7,13,10296,3,-4,4550,0.441919191919192
5,-7,13,10296,4,-4,3640,0.353535353535354
5,-7,13,10296,5,-4,1638,0.159090909090909
5,-7,13,10296,0,-3,1638,0.159090909090909
5,-7,13,10296,1,-3,3640,0.353535353535354
5,-7,13,10296,2,-3,4550,0.441919191919192
5,-7,13,10296,3,-3,3900,0.378787878787879
5,-7,13,10296,4,-3,2275,0.220959595959596
5,-7,13,10296,5,-3,728,0.0707070707070707
5,-7,13,10296,0,-2,3276,0.318181818181818
5,-7,13,10296,1,-2,4914,0.477272727272727
5,-7,13,10296,2,-2,4368,0.424242424242424
5,-7,13,10296,3,-2,2730,0.265151515151515
5,-7,13,10296,4,-2,1170,0.113636363636364
5,-7,13,10296,5,-2,273,0.0265151515151515
5,-7,13,10296,0,-1,6006,0.583333333333333
5,-7,13,10296,1,-1,5460,0.53030303030303
5,-7,13,10296,2,-1,3276,0.318181818181818
5,-7,13,10296,3,-1,1456,0.141414141414141
5,-7,13,10296,4,-1,455,0.0441919191919192
5,-7,13,10296,5,-1,78,0.00757575757575758
5,-7,13,10296,0,0,10296,1
5,-7,13,10296,1,0,4290,0.416666666666667
5,-7,13,10296,2,0,1560,0.151515151515152
5,-7,13,10296,3,0,468,0.0454545454545455
5,-7,13,10296,4,0,104,0.0101010101010101
5,-7,13,10296,5,0,13,0.00126262626262626
2,2,13,17327310,0,-4,364,2.10073000367628E-05
2,2,13,17327310,1,-4,455,2.62591250459535E-05
2,2,13,17327310,2,-4,195,1.12539107339801E-05
2,2,13,17327310,-1,-3,2912,0.000168058400294102
2,2,13,17327310,0,-3,21567,0.00124468252717819
2,2,13,17327310,1,-3,24284,0.00140148701673832
2,2,13,17327310,2,-3,11895,0.000686488554772784
2,2,13,17327310,3,-3,1560,9.00312858718405E-05
2,2,13,17327310,-2,-2,5460,0.000315109500551442
2,2,13,17327310,-1,-2,91546,0.00528333595924584
2,2,13,17327310,0,-2,419146,0.0241899059923323
2,2,13,17327310,1,-2,421200,0.0243084471853969
2,2,13,17327310,2,-2,220714,0.0127379264294342
2,2,13,17327310,3,-2,46735,0.00269718727257722
2,2,13,17327310,4,-2,2925,0.000168808661009701
2,2,13,17327310,-3,-1,2912,0.000168058400294102
2,2,13,17327310,-2,-1,91546,0.00528333595924584
2,2,13,17327310,-1,-1,917280,0.0529383960926422
2,2,13,17327310,0,-1,3657251,0.211068596337227
2,2,13,17327310,1,-1,3095508,0.178649080555493
2,2,13,17327310,2,-1,1663428,0.0960003601251435
2,2,13,17327310,3,-1,434980,0.0251037235439315
2,2,13,17327310,4,-1,46735,0.00269718727257722
2,2,13,17327310,5,-1,1560,9.00312858718405E-05
2,2,13,17327310,-4,0,364,2.10073000367628E-05
2,2,13,17327310,-3,0,21567,0.00124468252717819
2,2,13,17327310,-2,0,419146,0.0241899059923323
2,2,13,17327310,-1,0,3657251,0.211068596337227
2,2,13,17327310,0,0,17327310,1
2,2,13,17327310,1,0,10271274,0.592779490873078
2,2,13,17327310,2,0,5706454,0.329332943197761
2,2,13,17327310,3,0,1663428,0.0960003601251435
2,2,13,17327310,4,0,220714,0.0127379264294342
2,2,13,17327310,5,0,11895,0.000686488554772784
2,2,13,17327310,6,0,195,1.12539107339801E-05
2,2,13,17327310,-4,1,455,2.62591250459535E-05
2,2,13,17327310,-3,1,24284,0.00140148701673832
2,2,13,17327310,-2,1,421200,0.0243084471853969
2,2,13,17327310,-1,1,3095508,0.178649080555493
2,2,13,17327310,0,1,10271274,0.592779490873078
2,2,13,17327310,1,1,11674156,0.673743125736193
2,2,13,17327310,2,1,10271274,0.592779490873078
2,2,13,17327310,3,1,3095508,0.178649080555493
2,2,13,17327310,4,1,421200,0.0243084471853969
2,2,13,17327310,5,1,24284,0.00140148701673832
2,2,13,17327310,6,1,455,2.62591250459535E-05
2,2,13,17327310,-4,2,195,1.12539107339801E-05
2,2,13,17327310,-3,2,11895,0.000686488554772784
2,2,13,17327310,-2,2,220714,0.0127379264294342
2,2,13,17327310,-1,2,1663428,0.0960003601251435
2,2,13,17327310,0,2,5706454,0.329332943197761
2,2,13,17327310,1,2,10271274,0.592779490873078
2,2,13,17327310,2,2,17327310,1
2,2,13,17327310,3,2,3657251,0.211068596337227
2,2,13,17327310,4,2,419146,0.0241899059923323
2,2,13,17327310,5,2,21567,0.00124468252717819
2,2,13,17327310,6,2,364,2.10073000367628E-05
2,2,13,17327310,-3,3,1560,9.00312858718405E-05
2,2,13,17327310,-2,3,46735,0.00269718727257722
2,2,13,17327310,-1,3,434980,0.0251037235439315
