XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
0,-9,9,1,0,-9,1,0.5,1,1
0,-9,9,1,0,-8,1,1,1,1
0,-9,9,1,0,-7,1,1,1,1
0,-9,9,1,0,-6,1,1,1,1
0,-9,9,1,0,-5,1,1,1,1
0,-9,9,1,0,-4,1,1,1,1
0,-9,9,1,0,-3,1,1,1,1
0,-9,9,1,0,-2,1,1,1,1
0,-9,9,1,0,-1,1,1,1,1
0,-9,9,1,0,0,1,0.5,1,1
-1,-8,9,9,-1,-8,9,0.5,9,1
-1,-8,9,9,0,-8,1,1,1,1
-1,-8,9,9,-1,-7,8,1,8,1
-1,-8,9,9,0,-7,2,1,2,1
-1,-8,9,9,-1,-6,7,1,7,1
-1,-8,9,9,0,-6,3,1,3,1
-1,-8,9,9,-1,-5,6,1,6,1
-1,-8,9,9,0,-5,4,1,4,1
-1,-8,9,9,-1,-4,5,1,5,1
-1,-8,9,9,0,-4,5,1,5,1
-1,-8,9,9,-1,-3,4,1,4,1
-1,-8,9,9,0,-3,6,1,6,1
-1,-8,9,9,-1,-2,3,1,3,1
-1,-8,9,9,0,-2,7,1,7,1
-1,-8,9,9,-1,-1,2,1,2,1
-1,-8,9,9,0,-1,8,1,8,1
-1,-8,9,9,-1,0,1,1,1,1
-1,-8,9,9,0,0,9,0.5,9,1
0,-8,9,9,0,-8,9,0.5,8,0.888888888888889
0,-8,9,9,0,-8,9,1.5,1,0.111111111111111
0,-8,9,9,0,-7,9,1,8,0.888888888888889
0,-8,9,9,0,-7,9,2,1,0.111111111111111
0,-8,9,9,0,-6,9,1,8,0.888888888888889
0,-8,9,9,0,-6,9,2,1,0.111111111111111
0,-8,9,9,0,-5,9,1,8,0.888888888888889
0,-8,9,9,0,-5,9,2,1,0.111111111111111
0,-8,9,9,0,-4,9,1,8,0.888888888888889
0,-8,9,9,0,-4,9,2,1,0.111111111111111
0,-8,9,9,0,-3,9,1,8,0.888888888888889
0,-8,9,9,0,-3,9,2,1,0.111111111111111
0,-8,9,9,0,-2,9,1,8,0.888888888888889
0,-8,9,9,0,-2,9,2,1,0.111111111111111
0,-8,9,9,0,-1,9,1,8,0.888888888888889
0,-8,9,9,0,-1,9,2,1,0.111111111111111
0,-8,9,9,0,0,9,0.5,8,0.888888888888889
0,-8,9,9,0,0,9,1.5,1,0.111111111111111
1,-8,9,9,0,-8,1,1,1,1
1,-8,9,9,1,-8,9,0.5,9,1
1,-8,9,9,0,-7,2,1,2,1
1,-8,9,9,1,-7,8,1,8,1
1,-8,9,9,0,-6,3,1,3,1
1,-8,9,9,1,-6,7,1,7,1
1,-8,9,9,0,-5,4,1,4,1
1,-8,9,9,1,-5,6,1,6,1
1,-8,9,9,0,-4,5,1,5,1
1,-8,9,9,1,-4,5,1,5,1
1,-8,9,9,0,-3,6,1,6,1
1,-8,9,9,1,-3,4,1,4,1
1,-8,9,9,0,-2,7,1,7,1
1,-8,9,9,1,-2,3,1,3,1
1,-8,9,9,0,-1,8,1,8,1
1,-8,9,9,1,-1,2,1,2,1
1,-8,9,9,0,0,9,0.5,9,1
1,-8,9,9,1,0,1,1,1,1
-2,-7,9,36,-2,-7,36,0.5,36,1
-2,-7,9,36,-1,-7,8,1,8,1
-2,-7,9,36,0,-7,1,1,1,1
-2,-7,9,36,-2,-6,28,1,28,1
-2,-7,9,36,-1,-6,14,1,14,1
-2,-7,9,36,0,-6,3,1,3,1
-2,-7,9,36,-2,-5,21,1,21,1
-2,-7,9,36,-1,-5,18,1,18,1
-2,-7,9,36,0,-5,6,1,6,1
-2,-7,9,36,-2,-4,15,1,15,1
-2,-7,9,36,-1,-4,20,1,20,1
-2,-7,9,36,0,-4,10,1,10,1
-2,-7,9,36,-2,-3,10,1,10,1
-2,-7,9,36,-1,-3,20,1,20,1
-2,-7,9,36,0,-3,15,1,15,1
-2,-7,9,36,-2,-2,6,1,6,1
-2,-7,9,36,-1,-2,18,1,18,1
-2,-7,9,36,0,-2,21,1,21,1
-2,-7,9,36,-2,-1,3,1,3,1
-2,-7,9,36,-1,-1,14,1,14,1
-2,-7,9,36,0,-1,28,1,28,1
-2,-7,9,36,-2,0,1,1,1,1
-2,-7,9,36,-1,0,8,1,8,1
-2,-7,9,36,0,0,36,0.5,36,1
-1,-7,9,72,-1,-7,72,0.5,64,0.888888888888889
-1,-7,9,72,-1,-7,72,1.5,8,0.111111111111111
-1,-7,9,72,0,-7,9,1,8,0.888888888888889
-1,-7,9,72,0,-7,9,2,1,0.111111111111111
-1,-7,9,72,-1,-6,63,1,56,0.888888888888889
-1,-7,9,72,-1,-6,63,2,7,0.111111111111111
-1,-7,9,72,0,-6,18,1,16,0.888888888888889
-1,-7,9,72,0,-6,18,2,2,0.111111111111111
-1,-7,9,72,-1,-5,54,1,48,0.888888888888889
-1,-7,9,72,-1,-5,54,2,6,0.111111111111111
-1,-7,9,72,0,-5,27,1,24,0.888888888888889
-1,-7,9,72,0,-5,27,2,3,0.111111111111111
-1,-7,9,72,-1,-4,45,1,40,0.888888888888889
-1,-7,9,72,-1,-4,45,2,5,0.111111111111111
-1,-7,9,72,0,-4,36,1,32,0.888888888888889
-1,-7,9,72,0,-4,36,2,4,0.111111111111111
-1,-7,9,72,-1,-3,36,1,32,0.888888888888889
-1,-7,9,72,-1,-3,36,2,4,0.111111111111111
-1,-7,9,72,0,-3,45,1,40,0.888888888888889
-1,-7,9,72,0,-3,45,2,5,0.111111111111111
-1,-7,9,72,-1,-2,27,1,24,0.888888888888889
-1,-7,9,72,-1,-2,27,2,3,0.111111111111111
-1,-7,9,72,0,-2,54,1,48,0.888888888888889
-1,-7,9,72,0,-2,54,2,6,0.111111111111111
-1,-7,9,72,-1,-1,18,1,16,0.888888888888889
-1,-7,9,72,-1,-1,18,2,2,0.111111111111111
-1,-7,9,72,0,-1,63,1,56,0.888888888888889
-1,-7,9,72,0,-1,63,2,7,0.111111111111111
-1,-7,9,72,-1,0,9,1,8,0.888888888888889
-1,-7,9,72,-1,0,9,2,1,0.111111111111111
-1,-7,9,72,0,0,72,0.5,64,0.888888888888889
-1,-7,9,72,0,0,72,1.5,8,0.111111111111111
0,-7,9,117,0,-8,1,1,1,1
0,-7,9,117,-1,-7,8,1,8,1
0,-7,9,117,0,-7,117,0.5,105,0.897435897435897
0,-7,9,117,0,-7,117,1.5,11,0.094017094017094
0,-7,9,117,0,-7,117,2.5,1,0.00854700854700855
0,-7,9,117,1,-7,8,1,8,1
0,-7,9,117,-1,-6,14,1,14,1
0,-7,9,117,0,-6,105,1,93,0.885714285714286
0,-7,9,117,0,-6,105,2,11,0.104761904761905
0,-7,9,117,0,-6,105,3,1,0.00952380952380952
0,-7,9,117,1,-6,14,1,14,1
0,-7,9,117,-1,-5,18,1,18,1
0,-7,9,117,0,-5,97,1,85,0.876288659793814
0,-7,9,117,0,-5,97,2,11,0.11340206185567
0,-7,9,117,0,-5,97,3,1,0.0103092783505155
0,-7,9,117,1,-5,18,1,18,1
0,-7,9,117,-1,-4,20,1,20,1
0,-7,9,117,0,-4,93,1,81,0.870967741935484
0,-7,9,117,0,-4,93,2,11,0.118279569892473
0,-7,9,117,0,-4,93,3,1,0.010752688172043
0,-7,9,117,1,-4,20,1,20,1
