XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
0,-5,5,1,0,-5,1,1
0,-5,5,1,0,-4,1,1
0,-5,5,1,0,-3,1,1
0,-5,5,1,0,-2,1,1
0,-5,5,1,0,-1,1,1
0,-5,5,1,0,0,1,1
-1,-4,5,5,-1,-4,5,1
-1,-4,5,5,0,-4,1,0.2
-1,-4,5,5,-1,-3,4,0.8
-1,-4,5,5,0,-3,2,0.4
-1,-4,5,5,-1,-2,3,0.6
-1,-4,5,5,0,-2,3,0.6
-1,-4,5,5,-1,-1,2,0.4
-1,-4,5,5,0,-1,4,0.8
-1,-4,5,5,-1,0,1,0.2
-1,-4,5,5,0,0,5,1
0,-4,5,5,0,-4,5,1
0,-4,5,5,0,-3,5,1
0,-4,5,5,0,-2,5,1
0,-4,5,5,0,-1,5,1
0,-4,5,5,0,0,5,1
1,-4,5,5,0,-4,1,0.2
1,-4,5,5,1,-4,5,1
1,-4,5,5,0,-3,2,0.4
1,-4,5,5,1,-3,4,0.8
1,-4,5,5,0,-2,3,0.6
1,-4,5,5,1,-2,3,0.6
1,-4,5,5,0,-1,4,0.8
1,-4,5,5,1,-1,2,0.4
1,-4,5,5,0,0,5,1
1,-4,5,5,1,0,1,0.2
-2,-3,5,10,-2,-3,10,1
-2,-3,5,10,-1,-3,4,0.4
-2,-3,5,10,0,-3,1,0.1
-2,-3,5,10,-2,-2,6,0.6
-2,-3,5,10,-1,-2,6,0.6
-2,-3,5,10,0,-2,3,0.3
-2,-3,5,10,-2,-1,3,0.3
-2,-3,5,10,-1,-1,6,0.6
-2,-3,5,10,0,-1,6,0.6
-2,-3,5,10,-2,0,1,0.1
-2,-3,5,10,-1,0,4,0.4
-2,-3,5,10,0,0,10,1
-1,-3,5,20,-1,-3,20,1
-1,-3,5,20,0,-3,5,0.25
-1,-3,5,20,-1,-2,15,0.75
-1,-3,5,20,0,-2,10,0.5
-1,-3,5,20,-1,-1,10,0.5
-1,-3,5,20,0,-1,15,0.75
-1,-3,5,20,-1,0,5,0.25
-1,-3,5,20,0,0,20,1
0,-3,5,35,0,-4,1,0.0285714285714286
0,-3,5,35,-1,-3,4,0.114285714285714
0,-3,5,35,0,-3,35,1
0,-3,5,35,1,-3,4,0.114285714285714
0,-3,5,35,-1,-2,6,0.171428571428571
0,-3,5,35,0,-2,31,0.885714285714286
0,-3,5,35,1,-2,6,0.171428571428571
0,-3,5,35,-1,-1,6,0.171428571428571
0,-3,5,35,0,-1,31,0.885714285714286
0,-3,5,35,1,-1,6,0.171428571428571
0,-3,5,35,-1,0,4,0.114285714285714
0,-3,5,35,0,0,35,1
0,-3,5,35,1,0,4,0.114285714285714
0,-3,5,35,0,1,1,0.0285714285714286
1,-3,5,20,0,-3,5,0.25
1,-3,5,20,1,-3,20,1
1,-3,5,20,0,-2,10,0.5
1,-3,5,20,1,-2,15,0.75
1,-3,5,20,0,-1,15,0.75
1,-3,5,20,1,-1,10,0.5
1,-3,5,20,0,0,20,1
1,-3,5,20,1,0,5,0.25
2,-3,5,10,0,-3,1,0.1
2,-3,5,10,1,-3,4,0.4
2,-3,5,10,2,-3,10,1
2,-3,5,10,0,-2,3,0.3
2,-3,5,10,1,-2,6,0.6
