XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
0,-5,5,1,0,-5,1,0.5,1,1
0,-5,5,1,0,-4,1,1,1,1
0,-5,5,1,0,-3,1,1,1,1
0,-5,5,1,0,-2,1,1,1,1
0,-5,5,1,0,-1,1,1,1,1
0,-5,5,1,0,0,1,0.5,1,1
-1,-4,5,5,-1,-4,5,0.5,5,1
-1,-4,5,5,0,-4,1,1,1,1
-1,-4,5,5,-1,-3,4,1,4,1
-1,-4,5,5,0,-3,2,1,2,1
-1,-4,5,5,-1,-2,3,1,3,1
-1,-4,5,5,0,-2,3,1,3,1
-1,-4,5,5,-1,-1,2,1,2,1
-1,-4,5,5,0,-1,4,1,4,1
-1,-4,5,5,-1,0,1,1,1,1
-1,-4,5,5,0,0,5,0.5,5,1
0,-4,5,5,0,-4,5,0.5,4,0.8
0,-4,5,5,0,-4,5,1.5,1,0.2
0,-4,5,5,0,-3,5,1,4,0.8
0,-4,5,5,0,-3,5,2,1,0.2
0,-4,5,5,0,-2,5,1,4,0.8
0,-4,5,5,0,-2,5,2,1,0.2
0,-4,5,5,0,-1,5,1,4,0.8
0,-4,5,5,0,-1,5,2,1,0.2
0,-4,5,5,0,0,5,0.5,4,0.8
0,-4,5,5,0,0,5,1.5,1,0.2
1,-4,5,5,0,-4,1,1,1,1
1,-4,5,5,1,-4,5,0.5,5,1
1,-4,5,5,0,-3,2,1,2,1
1,-4,5,5,1,-3,4,1,4,1
1,-4,5,5,0,-2,3,1,3,1
1,-4,5,5,1,-2,3,1,3,1
1,-4,5,5,0,-1,4,1,4,1
1,-4,5,5,1,-1,2,1,2,1
1,-4,5,5,0,0,5,0.5,5,1
1,-4,5,5,1,0,1,1,1,1
-2,-3,5,10,-2,-3,10,0.5,10,1
-2,-3,5,10,-1,-3,4,1,4,1
-2,-3,5,10,0,-3,1,1,1,1
-2,-3,5,10,-2,-2,6,1,6,1
-2,-3,5,10,-1,-2,6,1,6,1
-2,-3,5,10,0,-2,3,1,3,1
-2,-3,5,10,-2,-1,3,1,3,1
-2,-3,5,10,-1,-1,6,1,6,1
-2,-3,5,10,0,-1,6,1,6,1
-2,-3,5,10,-2,0,1,1,1,1
-2,-3,5,10,-1,0,4,1,4,1
-2,-3,5,10,0,0,10,0.5,10,1
-1,-3,5,20,-1,-3,20,0.5,16,0.8
-1,-3,5,20,-1,-3,20,1.5,4,0.2
-1,-3,5,20,0,-3,5,1,4,0.8
-1,-3,5,20,0,-3,5,2,1,0.2
-1,-3,5,20,-1,-2,15,1,12,0.8
-1,-3,5,20,-1,-2,15,2,3,0.2
-1,-3,5,20,0,-2,10,1,8,0.8
-1,-3,5,20,0,-2,10,2,2,0.2
-1,-3,5,20,-1,-1,10,1,8,0.8
-1,-3,5,20,-1,-1,10,2,2,0.2
-1,-3,5,20,0,-1,15,1,12,0.8
-1,-3,5,20,0,-1,15,2,3,0.2
-1,-3,5,20,-1,0,5,1,4,0.8
-1,-3,5,20,-1,0,5,2,1,0.2
-1,-3,5,20,0,0,20,0.5,16,0.8
-1,-3,5,20,0,0,20,1.5,4,0.2
0,-3,5,35,0,-4,1,1,1,1
0,-3,5,35,-1,-3,4,1,4,1
0,-3,5,35,0,-3,35,0.5,27,0.771428571428571
0,-3,5,35,0,-3,35,1.5,7,0.2
0,-3,5,35,0,-3,35,2.5,1,0.0285714285714286
0,-3,5,35,1,-3,4,1,4,1
0,-3,5,35,-1,-2,6,1,6,1
0,-3,5,35,0,-2,31,1,23,0.741935483870968
0,-3,5,35,0,-2,31,2,7,0.225806451612903
0,-3,5,35,0,-2,31,3,1,0.032258064516129
0,-3,5,35,1,-2,6,1,6,1
0,-3,5,35,-1,-1,6,1,6,1
0,-3,5,35,0,-1,31,1,23,0.741935483870968
0,-3,5,35,0,-1,31,2,7,0.225806451612903
0,-3,5,35,0,-1,31,3,1,0.032258064516129
0,-3,5,35,1,-1,6,1,6,1
0,-3,5,35,-1,0,4,1,4,1
0,-3,5,35,0,0,35,0.5,27,0.771428571428571
0,-3,5,35,0,0,35,1.5,7,0.2
0,-3,5,35,0,0,35,2.5,1,0.0285714285714286
0,-3,5,35,1,0,4,1,4,1
0,-3,5,35,0,1,1,1,1,1
1,-3,5,20,0,-3,5,1,4,0.8
1,-3,5,20,0,-3,5,2,1,0.2
1,-3,5,20,1,-3,20,0.5,16,0.8
1,-3,5,20,1,-3,20,1.5,4,0.2
1,-3,5,20,0,-2,10,1,8,0.8
1,-3,5,20,0,-2,10,2,2,0.2
1,-3,5,20,1,-2,15,1,12,0.8
1,-3,5,20,1,-2,15,2,3,0.2
1,-3,5,20,0,-1,15,1,12,0.8
1,-3,5,20,0,-1,15,2,3,0.2
1,-3,5,20,1,-1,10,1,8,0.8
1,-3,5,20,1,-1,10,2,2,0.2
1,-3,5,20,0,0,20,0.5,16,0.8
1,-3,5,20,0,0,20,1.5,4,0.2
1,-3,5,20,1,0,5,1,4,0.8
1,-3,5,20,1,0,5,2,1,0.2
2,-3,5,10,0,-3,1,1,1,1
2,-3,5,10,1,-3,4,1,4,1
2,-3,5,10,2,-3,10,0.5,10,1
2,-3,5,10,0,-2,3,1,3,1
2,-3,5,10,1,-2,6,1,6,1
2,-3,5,10,2,-2,6,1,6,1
2,-3,5,10,0,-1,6,1,6,1
2,-3,5,10,1,-1,6,1,6,1
2,-3,5,10,2,-1,3,1,3,1
2,-3,5,10,0,0,10,0.5,10,1
2,-3,5,10,1,0,4,1,4,1
2,-3,5,10,2,0,1,1,1,1
-3,-2,5,10,-3,-2,10,0.5,10,1
-3,-2,5,10,-2,-2,6,1,6,1
-3,-2,5,10,-1,-2,3,1,3,1
-3,-2,5,10,0,-2,1,1,1,1
-3,-2,5,10,-3,-1,4,1,4,1
-3,-2,5,10,-2,-1,6,1,6,1
-3,-2,5,10,-1,-1,6,1,6,1
-3,-2,5,10,0,-1,4,1,4,1
