XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
-5,-3,11,32340,-5,-4,1386,0.0428571428571429
-5,-3,11,32340,-4,-4,1540,0.0476190476190476
-5,-3,11,32340,-3,-4,1155,0.0357142857142857
-5,-3,11,32340,-2,-4,660,0.0204081632653061
-5,-3,11,32340,-1,-4,275,0.00850340136054422
-5,-3,11,32340,0,-4,66,0.00204081632653061
-5,-3,11,32340,-6,-3,924,0.0285714285714286
-5,-3,11,32340,-5,-3,32340,1
-5,-3,11,32340,-4,-3,20174,0.623809523809524
-5,-3,11,32340,-3,-3,12100,0.374149659863946
-5,-3,11,32340,-2,-3,6655,0.20578231292517
-5,-3,11,32340,-1,-3,3058,0.0945578231292517
-5,-3,11,32340,0,-3,935,0.0289115646258503
-5,-3,11,32340,1,-3,44,0.00136054421768707
-5,-3,11,32340,-6,-2,616,0.019047619047619
-5,-3,11,32340,-5,-2,12936,0.4
-5,-3,11,32340,-4,-2,17446,0.539455782312925
-5,-3,11,32340,-3,-2,17215,0.532312925170068
-5,-3,11,32340,-2,-2,14124,0.436734693877551
-5,-3,11,32340,-1,-2,9416,0.291156462585034
-5,-3,11,32340,0,-2,4246,0.131292517006803
-5,-3,11,32340,1,-2,231,0.00714285714285714
-5,-3,11,32340,-6,-1,231,0.00714285714285714
-5,-3,11,32340,-5,-1,4246,0.131292517006803
-5,-3,11,32340,-4,-1,9416,0.291156462585034
-5,-3,11,32340,-3,-1,14124,0.436734693877551
-5,-3,11,32340,-2,-1,17215,0.532312925170068
-5,-3,11,32340,-1,-1,17446,0.539455782312925
-5,-3,11,32340,0,-1,12936,0.4
-5,-3,11,32340,1,-1,616,0.019047619047619
-5,-3,11,32340,-6,0,44,0.00136054421768707
-5,-3,11,32340,-5,0,935,0.0289115646258503
-5,-3,11,32340,-4,0,3058,0.0945578231292517
-5,-3,11,32340,-3,0,6655,0.20578231292517
-5,-3,11,32340,-2,0,12100,0.374149659863946
-5,-3,11,32340,-1,0,20174,0.623809523809524
-5,-3,11,32340,0,0,32340,1
-5,-3,11,32340,1,0,924,0.0285714285714286
-5,-3,11,32340,-5,1,66,0.00204081632653061
-5,-3,11,32340,-4,1,275,0.00850340136054422
-5,-3,11,32340,-3,1,660,0.0204081632653061
-5,-3,11,32340,-2,1,1155,0.0357142857142857
-5,-3,11,32340,-1,1,1540,0.0476190476190476
-5,-3,11,32340,0,1,1386,0.0428571428571429
0,-6,11,33297,0,-8,11,0.000330360092500826
0,-6,11,33297,-1,-7,176,0.00528576148001321
0,-6,11,33297,0,-7,1111,0.0333663693425834
0,-6,11,33297,1,-7,176,0.00528576148001321
0,-6,11,33297,-2,-6,308,0.00925008259002313
0,-6,11,33297,-1,-6,5104,0.153287082920383
0,-6,11,33297,0,-6,33297,1
0,-6,11,33297,1,-6,5104,0.153287082920383
0,-6,11,33297,2,-6,308,0.00925008259002313
0,-6,11,33297,-2,-5,693,0.020812685827552
0,-6,11,33297,-1,-5,7964,0.239180706970598
0,-6,11,33297,0,-5,26807,0.805087545424513
0,-6,11,33297,1,-5,7964,0.239180706970598
0,-6,11,33297,2,-5,693,0.020812685827552
0,-6,11,33297,-2,-4,990,0.0297324083250743
0,-6,11,33297,-1,-4,9416,0.282788239180707
0,-6,11,33297,0,-4,23309,0.70003303600925
0,-6,11,33297,1,-4,9416,0.282788239180707
0,-6,11,33297,2,-4,990,0.0297324083250743
0,-6,11,33297,-2,-3,1100,0.0330360092500826
0,-6,11,33297,-1,-3,9856,0.29600264288074
0,-6,11,33297,0,-3,22209,0.666997026759168
0,-6,11,33297,1,-3,9856,0.29600264288074
0,-6,11,33297,2,-3,1100,0.0330360092500826
0,-6,11,33297,-2,-2,990,0.0297324083250743
0,-6,11,33297,-1,-2,9416,0.282788239180707
0,-6,11,33297,0,-2,23309,0.70003303600925
0,-6,11,33297,1,-2,9416,0.282788239180707
0,-6,11,33297,2,-2,990,0.0297324083250743
0,-6,11,33297,-2,-1,693,0.020812685827552
0,-6,11,33297,-1,-1,7964,0.239180706970598
0,-6,11,33297,0,-1,26807,0.805087545424513
0,-6,11,33297,1,-1,7964,0.239180706970598
0,-6,11,33297,2,-1,693,0.020812685827552
0,-6,11,33297,-2,0,308,0.00925008259002313
0,-6,11,33297,-1,0,5104,0.153287082920383
0,-6,11,33297,0,0,33297,1
0,-6,11,33297,1,0,5104,0.153287082920383
0,-6,11,33297,2,0,308,0.00925008259002313
0,-6,11,33297,-1,1,176,0.00528576148001321
0,-6,11,33297,0,1,1111,0.0333663693425834
0,-6,11,33297,1,1,176,0.00528576148001321
0,-6,11,33297,0,2,11,0.000330360092500826
3,-2,11,411180,0,-5,20,4.86404980787003E-05
3,-2,11,411180,1,-5,60,0.000145921494236101
3,-2,11,411180,2,-5,84,0.000204290091930541
3,-2,11,411180,3,-5,56,0.000136193394620361
3,-2,11,411180,-1,-4,75,0.000182401867795126
3,-2,11,411180,0,-4,1115,0.00271170776788754
3,-2,11,411180,1,-4,3012,0.00732525901065227
3,-2,11,411180,2,-4,4389,0.0106741573033708
3,-2,11,411180,3,-4,3479,0.00846101464078992
3,-2,11,411180,4,-4,210,0.000510725229826353
3,-2,11,411180,-2,-3,60,0.000145921494236101
3,-2,11,411180,-1,-3,2058,0.00500510725229826
3,-2,11,411180,0,-3,15632,0.0380174132983122
3,-2,11,411180,1,-3,37194,0.090456734276959
3,-2,11,411180,2,-3,56982,0.138581643076025
3,-2,11,411180,3,-3,57920,0.140862882435916
3,-2,11,411180,4,-3,6678,0.016241062308478
3,-2,11,411180,5,-3,168,0.000408580183861083
3,-2,11,411180,-3,-2,10,2.43202490393502E-05
3,-2,11,411180,-2,-2,720,0.00175105793083321
3,-2,11,411180,-1,-2,13215,0.0321392091055012
3,-2,11,411180,0,-2,78795,0.19163140230556
3,-2,11,411180,1,-2,158130,0.384576098059244
3,-2,11,411180,2,-2,255726,0.621932000583686
3,-2,11,411180,3,-2,411180,1
3,-2,11,411180,4,-2,46065,0.112031227199767
3,-2,11,411180,5,-2,2163,0.00526046986721144
3,-2,11,411180,6,-2,28,6.80966973101805E-05
3,-2,11,411180,-3,-1,28,6.80966973101805E-05
3,-2,11,411180,-2,-1,1890,0.00459652706843718
3,-2,11,411180,-1,-1,33090,0.0804757040712097
3,-2,11,411180,0,-1,197694,0.480796731358529
3,-2,11,411180,1,-1,250314,0.60876988180359
3,-2,11,411180,2,-1,250314,0.60876988180359
3,-2,11,411180,3,-1,197694,0.480796731358529
3,-2,11,411180,4,-1,33090,0.0804757040712097
3,-2,11,411180,5,-1,1890,0.00459652706843718
3,-2,11,411180,6,-1,28,6.80966973101805E-05
3,-2,11,411180,-3,0,28,6.80966973101805E-05
3,-2,11,411180,-2,0,2163,0.00526046986721144
3,-2,11,411180,-1,0,46065,0.112031227199767
3,-2,11,411180,0,0,411180,1
3,-2,11,411180,1,0,255726,0.621932000583686
3,-2,11,411180,2,0,158130,0.384576098059244
3,-2,11,411180,3,0,78795,0.19163140230556
3,-2,11,411180,4,0,13215,0.0321392091055012
3,-2,11,411180,5,0,720,0.00175105793083321
3,-2,11,411180,6,0,10,2.43202490393502E-05
3,-2,11,411180,-2,1,168,0.000408580183861083
3,-2,11,411180,-1,1,6678,0.016241062308478
3,-2,11,411180,0,1,57920,0.140862882435916
3,-2,11,411180,1,1,56982,0.138581643076025
3,-2,11,411180,2,1,37194,0.090456734276959
3,-2,11,411180,3,1,15632,0.0380174132983122
3,-2,11,411180,4,1,2058,0.00500510725229826
3,-2,11,411180,5,1,60,0.000145921494236101
3,-2,11,411180,-1,2,210,0.000510725229826353
3,-2,11,411180,0,2,3479,0.00846101464078992
3,-2,11,411180,1,2,4389,0.0106741573033708
3,-2,11,411180,2,2,3012,0.00732525901065227
3,-2,11,411180,3,2,1115,0.00271170776788754
3,-2,11,411180,4,2,75,0.000182401867795126
3,-2,11,411180,0,3,56,0.000136193394620361
3,-2,11,411180,1,3,84,0.000204290091930541
3,-2,11,411180,2,3,60,0.000145921494236101
3,-2,11,411180,3,3,20,4.86404980787003E-05
4,1,11,271590,0,-3,70,0.000257741448506941
4,1,11,271590,1,-3,140,0.000515482897013881
