XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
0,-6,6,1,0,-6,1,0.5,1,1
0,-6,6,1,0,-5,1,1,1,1
0,-6,6,1,0,-4,1,1,1,1
0,-6,6,1,0,-3,1,1,1,1
0,-6,6,1,0,-2,1,1,1,1
0,-6,6,1,0,-1,1,1,1,1
0,-6,6,1,0,0,1,0.5,1,1
-1,-5,6,6,-1,-5,6,0.5,6,1
-1,-5,6,6,0,-5,1,1,1,1
-1,-5,6,6,-1,-4,5,1,5,1
-1,-5,6,6,0,-4,2,1,2,1
-1,-5,6,6,-1,-3,4,1,4,1
-1,-5,6,6,0,-3,3,1,3,1
-1,-5,6,6,-1,-2,3,1,3,1
-1,-5,6,6,0,-2,4,1,4,1
-1,-5,6,6,-1,-1,2,1,2,1
-1,-5,6,6,0,-1,5,1,5,1
-1,-5,6,6,-1,0,1,1,1,1
-1,-5,6,6,0,0,6,0.5,6,1
0,-5,6,6,0,-5,6,0.5,5,0.833333333333333
0,-5,6,6,0,-5,6,1.5,1,0.166666666666667
0,-5,6,6,0,-4,6,1,5,0.833333333333333
0,-5,6,6,0,-4,6,2,1,0.166666666666667
0,-5,6,6,0,-3,6,1,5,0.833333333333333
0,-5,6,6,0,-3,6,2,1,0.166666666666667
0,-5,6,6,0,-2,6,1,5,0.833333333333333
0,-5,6,6,0,-2,6,2,1,0.166666666666667
0,-5,6,6,0,-1,6,1,5,0.833333333333333
0,-5,6,6,0,-1,6,2,1,0.166666666666667
0,-5,6,6,0,0,6,0.5,5,0.833333333333333
0,-5,6,6,0,0,6,1.5,1,0.166666666666667
1,-5,6,6,0,-5,1,1,1,1
1,-5,6,6,1,-5,6,0.5,6,1
1,-5,6,6,0,-4,2,1,2,1
1,-5,6,6,1,-4,5,1,5,1
1,-5,6,6,0,-3,3,1,3,1
1,-5,6,6,1,-3,4,1,4,1
1,-5,6,6,0,-2,4,1,4,1
1,-5,6,6,1,-2,3,1,3,1
1,-5,6,6,0,-1,5,1,5,1
1,-5,6,6,1,-1,2,1,2,1
1,-5,6,6,0,0,6,0.5,6,1
1,-5,6,6,1,0,1,1,1,1
-2,-4,6,15,-2,-4,15,0.5,15,1
-2,-4,6,15,-1,-4,5,1,5,1
-2,-4,6,15,0,-4,1,1,1,1
-2,-4,6,15,-2,-3,10,1,10,1
-2,-4,6,15,-1,-3,8,1,8,1
-2,-4,6,15,0,-3,3,1,3,1
-2,-4,6,15,-2,-2,6,1,6,1
-2,-4,6,15,-1,-2,9,1,9,1
-2,-4,6,15,0,-2,6,1,6,1
-2,-4,6,15,-2,-1,3,1,3,1
-2,-4,6,15,-1,-1,8,1,8,1
-2,-4,6,15,0,-1,10,1,10,1
-2,-4,6,15,-2,0,1,1,1,1
-2,-4,6,15,-1,0,5,1,5,1
-2,-4,6,15,0,0,15,0.5,15,1
-1,-4,6,30,-1,-4,30,0.5,25,0.833333333333333
-1,-4,6,30,-1,-4,30,1.5,5,0.166666666666667
-1,-4,6,30,0,-4,6,1,5,0.833333333333333
-1,-4,6,30,0,-4,6,2,1,0.166666666666667
-1,-4,6,30,-1,-3,24,1,20,0.833333333333333
-1,-4,6,30,-1,-3,24,2,4,0.166666666666667
-1,-4,6,30,0,-3,12,1,10,0.833333333333333
-1,-4,6,30,0,-3,12,2,2,0.166666666666667
-1,-4,6,30,-1,-2,18,1,15,0.833333333333333
-1,-4,6,30,-1,-2,18,2,3,0.166666666666667
-1,-4,6,30,0,-2,18,1,15,0.833333333333333
-1,-4,6,30,0,-2,18,2,3,0.166666666666667
-1,-4,6,30,-1,-1,12,1,10,0.833333333333333
-1,-4,6,30,-1,-1,12,2,2,0.166666666666667
-1,-4,6,30,0,-1,24,1,20,0.833333333333333
-1,-4,6,30,0,-1,24,2,4,0.166666666666667
-1,-4,6,30,-1,0,6,1,5,0.833333333333333
-1,-4,6,30,-1,0,6,2,1,0.166666666666667
-1,-4,6,30,0,0,30,0.5,25,0.833333333333333
-1,-4,6,30,0,0,30,1.5,5,0.166666666666667
0,-4,6,51,0,-5,1,1,1,1
0,-4,6,51,-1,-4,5,1,5,1
0,-4,6,51,0,-4,51,0.5,42,0.823529411764706
0,-4,6,51,0,-4,51,1.5,8,0.156862745098039
0,-4,6,51,0,-4,51,2.5,1,0.0196078431372549
0,-4,6,51,1,-4,5,1,5,1
0,-4,6,51,-1,-3,8,1,8,1
0,-4,6,51,0,-3,45,1,36,0.8
0,-4,6,51,0,-3,45,2,8,0.177777777777778
0,-4,6,51,0,-3,45,3,1,0.0222222222222222
0,-4,6,51,1,-3,8,1,8,1
0,-4,6,51,-1,-2,9,1,9,1
0,-4,6,51,0,-2,43,1,34,0.790697674418605
0,-4,6,51,0,-2,43,2,8,0.186046511627907
0,-4,6,51,0,-2,43,3,1,0.0232558139534884
0,-4,6,51,1,-2,9,1,9,1
0,-4,6,51,-1,-1,8,1,8,1
0,-4,6,51,0,-1,45,1,36,0.8
0,-4,6,51,0,-1,45,2,8,0.177777777777778
0,-4,6,51,0,-1,45,3,1,0.0222222222222222
0,-4,6,51,1,-1,8,1,8,1
0,-4,6,51,-1,0,5,1,5,1
0,-4,6,51,0,0,51,0.5,42,0.823529411764706
0,-4,6,51,0,0,51,1.5,8,0.156862745098039
0,-4,6,51,0,0,51,2.5,1,0.0196078431372549
0,-4,6,51,1,0,5,1,5,1
0,-4,6,51,0,1,1,1,1,1
1,-4,6,30,0,-4,6,1,5,0.833333333333333
1,-4,6,30,0,-4,6,2,1,0.166666666666667
1,-4,6,30,1,-4,30,0.5,25,0.833333333333333
1,-4,6,30,1,-4,30,1.5,5,0.166666666666667
1,-4,6,30,0,-3,12,1,10,0.833333333333333
1,-4,6,30,0,-3,12,2,2,0.166666666666667
1,-4,6,30,1,-3,24,1,20,0.833333333333333
1,-4,6,30,1,-3,24,2,4,0.166666666666667
1,-4,6,30,0,-2,18,1,15,0.833333333333333
1,-4,6,30,0,-2,18,2,3,0.166666666666667
1,-4,6,30,1,-2,18,1,15,0.833333333333333
1,-4,6,30,1,-2,18,2,3,0.166666666666667
1,-4,6,30,0,-1,24,1,20,0.833333333333333
1,-4,6,30,0,-1,24,2,4,0.166666666666667
