XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
0,-10,10,1,0,-10,1,0.5,1,1
0,-10,10,1,0,-9,1,1,1,1
0,-10,10,1,0,-8,1,1,1,1
0,-10,10,1,0,-7,1,1,1,1
0,-10,10,1,0,-6,1,1,1,1
0,-10,10,1,0,-5,1,1,1,1
0,-10,10,1,0,-4,1,1,1,1
0,-10,10,1,0,-3,1,1,1,1
0,-10,10,1,0,-2,1,1,1,1
0,-10,10,1,0,-1,1,1,1,1
0,-10,10,1,0,0,1,0.5,1,1
-1,-9,10,10,-1,-9,10,0.5,10,1
-1,-9,10,10,0,-9,1,1,1,1
-1,-9,10,10,-1,-8,9,1,9,1
-1,-9,10,10,0,-8,2,1,2,1
-1,-9,10,10,-1,-7,8,1,8,1
-1,-9,10,10,0,-7,3,1,3,1
-1,-9,10,10,-1,-6,7,1,7,1
-1,-9,10,10,0,-6,4,1,4,1
-1,-9,10,10,-1,-5,6,1,6,1
-1,-9,10,10,0,-5,5,1,5,1
-1,-9,10,10,-1,-4,5,1,5,1
-1,-9,10,10,0,-4,6,1,6,1
-1,-9,10,10,-1,-3,4,1,4,1
-1,-9,10,10,0,-3,7,1,7,1
-1,-9,10,10,-1,-2,3,1,3,1
-1,-9,10,10,0,-2,8,1,8,1
-1,-9,10,10,-1,-1,2,1,2,1
-1,-9,10,10,0,-1,9,1,9,1
-1,-9,10,10,-1,0,1,1,1,1
-1,-9,10,10,0,0,10,0.5,10,1
0,-9,10,10,0,-9,10,0.5,9,0.9
0,-9,10,10,0,-9,10,1.5,1,0.1
0,-9,10,10,0,-8,10,1,9,0.9
0,-9,10,10,0,-8,10,2,1,0.1
0,-9,10,10,0,-7,10,1,9,0.9
0,-9,10,10,0,-7,10,2,1,0.1
0,-9,10,10,0,-6,10,1,9,0.9
0,-9,10,10,0,-6,10,2,1,0.1
0,-9,10,10,0,-5,10,1,9,0.9
0,-9,10,10,0,-5,10,2,1,0.1
0,-9,10,10,0,-4,10,1,9,0.9
0,-9,10,10,0,-4,10,2,1,0.1
0,-9,10,10,0,-3,10,1,9,0.9
0,-9,10,10,0,-3,10,2,1,0.1
0,-9,10,10,0,-2,10,1,9,0.9
0,-9,10,10,0,-2,10,2,1,0.1
0,-9,10,10,0,-1,10,1,9,0.9
0,-9,10,10,0,-1,10,2,1,0.1
0,-9,10,10,0,0,10,0.5,9,0.9
0,-9,10,10,0,0,10,1.5,1,0.1
1,-9,10,10,0,-9,1,1,1,1
1,-9,10,10,1,-9,10,0.5,10,1
1,-9,10,10,0,-8,2,1,2,1
1,-9,10,10,1,-8,9,1,9,1
1,-9,10,10,0,-7,3,1,3,1
1,-9,10,10,1,-7,8,1,8,1
1,-9,10,10,0,-6,4,1,4,1
1,-9,10,10,1,-6,7,1,7,1
1,-9,10,10,0,-5,5,1,5,1
1,-9,10,10,1,-5,6,1,6,1
1,-9,10,10,0,-4,6,1,6,1
1,-9,10,10,1,-4,5,1,5,1
1,-9,10,10,0,-3,7,1,7,1
1,-9,10,10,1,-3,4,1,4,1
1,-9,10,10,0,-2,8,1,8,1
1,-9,10,10,1,-2,3,1,3,1
1,-9,10,10,0,-1,9,1,9,1
1,-9,10,10,1,-1,2,1,2,1
1,-9,10,10,0,0,10,0.5,10,1
1,-9,10,10,1,0,1,1,1,1
-2,-8,10,45,-2,-8,45,0.5,45,1
-2,-8,10,45,-1,-8,9,1,9,1
-2,-8,10,45,0,-8,1,1,1,1
-2,-8,10,45,-2,-7,36,1,36,1
-2,-8,10,45,-1,-7,16,1,16,1
-2,-8,10,45,0,-7,3,1,3,1
-2,-8,10,45,-2,-6,28,1,28,1
-2,-8,10,45,-1,-6,21,1,21,1
