XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
5,-7,13,10296,0,-7,13,1,12,0.923076923076923
5,-7,13,10296,0,-7,13,2,1,0.0769230769230769
5,-7,13,10296,1,-7,104,1,96,0.923076923076923
5,-7,13,10296,1,-7,104,2,8,0.0769230769230769
5,-7,13,10296,2,-7,468,1,432,0.923076923076923
5,-7,13,10296,2,-7,468,2,36,0.0769230769230769
5,-7,13,10296,3,-7,1560,1,1440,0.923076923076923
5,-7,13,10296,3,-7,1560,2,120,0.0769230769230769
5,-7,13,10296,4,-7,4290,1,3960,0.923076923076923
5,-7,13,10296,4,-7,4290,2,330,0.0769230769230769
5,-7,13,10296,5,-7,10296,0.5,9504,0.923076923076923
5,-7,13,10296,5,-7,10296,1.5,792,0.0769230769230769
5,-7,13,10296,0,-6,78,1,72,0.923076923076923
5,-7,13,10296,0,-6,78,2,6,0.0769230769230769
5,-7,13,10296,1,-6,455,1,420,0.923076923076923
5,-7,13,10296,1,-6,455,2,35,0.0769230769230769
5,-7,13,10296,2,-6,1456,1,1344,0.923076923076923
5,-7,13,10296,2,-6,1456,2,112,0.0769230769230769
5,-7,13,10296,3,-6,3276,1,3024,0.923076923076923
5,-7,13,10296,3,-6,3276,2,252,0.0769230769230769
5,-7,13,10296,4,-6,5460,1,5040,0.923076923076923
5,-7,13,10296,4,-6,5460,2,420,0.0769230769230769
5,-7,13,10296,5,-6,6006,1,5544,0.923076923076923
5,-7,13,10296,5,-6,6006,2,462,0.0769230769230769
5,-7,13,10296,0,-5,273,1,252,0.923076923076923
5,-7,13,10296,0,-5,273,2,21,0.0769230769230769
5,-7,13,10296,1,-5,1170,1,1080,0.923076923076923
5,-7,13,10296,1,-5,1170,2,90,0.0769230769230769
5,-7,13,10296,2,-5,2730,1,2520,0.923076923076923
5,-7,13,10296,2,-5,2730,2,210,0.0769230769230769
5,-7,13,10296,3,-5,4368,1,4032,0.923076923076923
5,-7,13,10296,3,-5,4368,2,336,0.0769230769230769
5,-7,13,10296,4,-5,4914,1,4536,0.923076923076923
5,-7,13,10296,4,-5,4914,2,378,0.0769230769230769
5,-7,13,10296,5,-5,3276,1,3024,0.923076923076923
5,-7,13,10296,5,-5,3276,2,252,0.0769230769230769
5,-7,13,10296,0,-4,728,1,672,0.923076923076923
5,-7,13,10296,0,-4,728,2,56,0.0769230769230769
5,-7,13,10296,1,-4,2275,1,2100,0.923076923076923
5,-7,13,10296,1,-4,2275,2,175,0.0769230769230769
5,-7,13,10296,2,-4,3900,1,3600,0.923076923076923
5,-7,13,10296,2,-4,3900,2,300,0.0769230769230769
5,-7,13,10296,3,-4,4550,1,4200,0.923076923076923
5,-7,13,10296,3,-4,4550,2,350,0.0769230769230769
5,-7,13,10296,4,-4,3640,1,3360,0.923076923076923
5,-7,13,10296,4,-4,3640,2,280,0.0769230769230769
5,-7,13,10296,5,-4,1638,1,1512,0.923076923076923
5,-7,13,10296,5,-4,1638,2,126,0.0769230769230769
5,-7,13,10296,0,-3,1638,1,1512,0.923076923076923
5,-7,13,10296,0,-3,1638,2,126,0.0769230769230769
5,-7,13,10296,1,-3,3640,1,3360,0.923076923076923
5,-7,13,10296,1,-3,3640,2,280,0.0769230769230769
5,-7,13,10296,2,-3,4550,1,4200,0.923076923076923
5,-7,13,10296,2,-3,4550,2,350,0.0769230769230769
5,-7,13,10296,3,-3,3900,1,3600,0.923076923076923
5,-7,13,10296,3,-3,3900,2,300,0.0769230769230769
5,-7,13,10296,4,-3,2275,1,2100,0.923076923076923
5,-7,13,10296,4,-3,2275,2,175,0.0769230769230769
5,-7,13,10296,5,-3,728,1,672,0.923076923076923
5,-7,13,10296,5,-3,728,2,56,0.0769230769230769
5,-7,13,10296,0,-2,3276,1,3024,0.923076923076923
5,-7,13,10296,0,-2,3276,2,252,0.0769230769230769
5,-7,13,10296,1,-2,4914,1,4536,0.923076923076923
5,-7,13,10296,1,-2,4914,2,378,0.0769230769230769
5,-7,13,10296,2,-2,4368,1,4032,0.923076923076923
5,-7,13,10296,2,-2,4368,2,336,0.0769230769230769
5,-7,13,10296,3,-2,2730,1,2520,0.923076923076923
5,-7,13,10296,3,-2,2730,2,210,0.0769230769230769
5,-7,13,10296,4,-2,1170,1,1080,0.923076923076923
5,-7,13,10296,4,-2,1170,2,90,0.0769230769230769
5,-7,13,10296,5,-2,273,1,252,0.923076923076923
5,-7,13,10296,5,-2,273,2,21,0.0769230769230769
5,-7,13,10296,0,-1,6006,1,5544,0.923076923076923
5,-7,13,10296,0,-1,6006,2,462,0.0769230769230769
5,-7,13,10296,1,-1,5460,1,5040,0.923076923076923
5,-7,13,10296,1,-1,5460,2,420,0.0769230769230769
5,-7,13,10296,2,-1,3276,1,3024,0.923076923076923
5,-7,13,10296,2,-1,3276,2,252,0.0769230769230769
5,-7,13,10296,3,-1,1456,1,1344,0.923076923076923
5,-7,13,10296,3,-1,1456,2,112,0.0769230769230769
5,-7,13,10296,4,-1,455,1,420,0.923076923076923
5,-7,13,10296,4,-1,455,2,35,0.0769230769230769
5,-7,13,10296,5,-1,78,1,72,0.923076923076923
5,-7,13,10296,5,-1,78,2,6,0.0769230769230769
5,-7,13,10296,0,0,10296,0.5,9504,0.923076923076923
5,-7,13,10296,0,0,10296,1.5,792,0.0769230769230769
5,-7,13,10296,1,0,4290,1,3960,0.923076923076923
5,-7,13,10296,1,0,4290,2,330,0.0769230769230769
5,-7,13,10296,2,0,1560,1,1440,0.923076923076923
5,-7,13,10296,2,0,1560,2,120,0.0769230769230769
5,-7,13,10296,3,0,468,1,432,0.923076923076923
5,-7,13,10296,3,0,468,2,36,0.0769230769230769
5,-7,13,10296,4,0,104,1,96,0.923076923076923
5,-7,13,10296,4,0,104,2,8,0.0769230769230769
5,-7,13,10296,5,0,13,1,12,0.923076923076923
5,-7,13,10296,5,0,13,2,1,0.0769230769230769
2,2,13,17327310,0,-4,364,1,336,0.923076923076923
2,2,13,17327310,0,-4,364,2,28,0.0769230769230769
2,2,13,17327310,1,-4,455,1,420,0.923076923076923
2,2,13,17327310,1,-4,455,2,35,0.0769230769230769
2,2,13,17327310,2,-4,195,1,180,0.923076923076923
2,2,13,17327310,2,-4,195,2,15,0.0769230769230769
2,2,13,17327310,-1,-3,2912,1,2688,0.923076923076923
2,2,13,17327310,-1,-3,2912,2,224,0.0769230769230769
2,2,13,17327310,0,-3,21567,1,17976,0.833495618305745
2,2,13,17327310,0,-3,21567,2,3192,0.148003894839338
2,2,13,17327310,0,-3,21567,3,378,0.0175267770204479
2,2,13,17327310,0,-3,21567,4,21,0.000973709834469328
2,2,13,17327310,1,-3,24284,1,20208,0.832152857848789
2,2,13,17327310,1,-3,24284,2,3620,0.149069346071487
2,2,13,17327310,1,-3,24284,3,432,0.0177894910228957
2,2,13,17327310,1,-3,24284,4,24,0.000988305056827541
2,2,13,17327310,2,-3,11895,1,10060,0.845733501471206
2,2,13,17327310,2,-3,11895,2,1645,0.138293400588483
2,2,13,17327310,2,-3,11895,3,180,0.0151324085750315
2,2,13,17327310,2,-3,11895,4,10,0.000840689365279529
2,2,13,17327310,3,-3,1560,1,1440,0.923076923076923
2,2,13,17327310,3,-3,1560,2,120,0.0769230769230769
2,2,13,17327310,-2,-2,5460,1,5040,0.923076923076923
2,2,13,17327310,-2,-2,5460,2,420,0.0769230769230769
2,2,13,17327310,-1,-2,91546,1,74844,0.817556201254014
2,2,13,17327310,-1,-2,91546,2,14707,0.16065147576082
2,2,13,17327310,-1,-2,91546,3,1890,0.0206453586175256
2,2,13,17327310,-1,-2,91546,4,105,0.00114696436764031
2,2,13,17327310,0,-2,419146,1,306388,0.730981567282045
2,2,13,17327310,0,-2,419146,2,88511,0.21116985489543
2,2,13,17327310,0,-2,419146,3,20424,0.0487276509855754
