XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
0,-4,4,1,0,-4,1,1
0,-4,4,1,0,-3,1,1
0,-4,4,1,0,-2,1,1
0,-4,4,1,0,-1,1,1
0,-4,4,1,0,0,1,1
-1,-3,4,4,-1,-3,4,1
-1,-3,4,4,0,-3,1,0.25
-1,-3,4,4,-1,-2,3,0.75
-1,-3,4,4,0,-2,2,0.5
-1,-3,4,4,-1,-1,2,0.5
-1,-3,4,4,0,-1,3,0.75
-1,-3,4,4,-1,0,1,0.25
-1,-3,4,4,0,0,4,1
0,-3,4,4,0,-3,4,1
0,-3,4,4,0,-2,4,1
0,-3,4,4,0,-1,4,1
0,-3,4,4,0,0,4,1
1,-3,4,4,0,-3,1,0.25
1,-3,4,4,1,-3,4,1
1,-3,4,4,0,-2,2,0.5
1,-3,4,4,1,-2,3,0.75
1,-3,4,4,0,-1,3,0.75
1,-3,4,4,1,-1,2,0.5
1,-3,4,4,0,0,4,1
1,-3,4,4,1,0,1,0.25
-2,-2,4,6,-2,-2,6,1
-2,-2,4,6,-1,-2,3,0.5
-2,-2,4,6,0,-2,1,0.166666666666667
-2,-2,4,6,-2,-1,3,0.5
-2,-2,4,6,-1,-1,4,0.666666666666667
-2,-2,4,6,0,-1,3,0.5
-2,-2,4,6,-2,0,1,0.166666666666667
-2,-2,4,6,-1,0,3,0.5
-2,-2,4,6,0,0,6,1
-1,-2,4,12,-1,-2,12,1
-1,-2,4,12,0,-2,4,0.333333333333333
-1,-2,4,12,-1,-1,8,0.666666666666667
-1,-2,4,12,0,-1,8,0.666666666666667
-1,-2,4,12,-1,0,4,0.333333333333333
-1,-2,4,12,0,0,12,1
0,-2,4,22,0,-3,1,0.0454545454545455
0,-2,4,22,-1,-2,3,0.136363636363636
0,-2,4,22,0,-2,22,1
0,-2,4,22,1,-2,3,0.136363636363636
0,-2,4,22,-1,-1,4,0.181818181818182
0,-2,4,22,0,-1,20,0.909090909090909
0,-2,4,22,1,-1,4,0.181818181818182
0,-2,4,22,-1,0,3,0.136363636363636
0,-2,4,22,0,0,22,1
0,-2,4,22,1,0,3,0.136363636363636
0,-2,4,22,0,1,1,0.0454545454545455
1,-2,4,12,0,-2,4,0.333333333333333
1,-2,4,12,1,-2,12,1
1,-2,4,12,0,-1,8,0.666666666666667
1,-2,4,12,1,-1,8,0.666666666666667
1,-2,4,12,0,0,12,1
1,-2,4,12,1,0,4,0.333333333333333
