XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
0,-9,9,1,0,-9,1,1
0,-9,9,1,0,-8,1,1
0,-9,9,1,0,-7,1,1
0,-9,9,1,0,-6,1,1
0,-9,9,1,0,-5,1,1
0,-9,9,1,0,-4,1,1
0,-9,9,1,0,-3,1,1
0,-9,9,1,0,-2,1,1
0,-9,9,1,0,-1,1,1
0,-9,9,1,0,0,1,1
-1,-8,9,9,-1,-8,9,1
-1,-8,9,9,0,-8,1,0.111111111111111
-1,-8,9,9,-1,-7,8,0.888888888888889
-1,-8,9,9,0,-7,2,0.222222222222222
-1,-8,9,9,-1,-6,7,0.777777777777778
-1,-8,9,9,0,-6,3,0.333333333333333
-1,-8,9,9,-1,-5,6,0.666666666666667
-1,-8,9,9,0,-5,4,0.444444444444444
-1,-8,9,9,-1,-4,5,0.555555555555556
-1,-8,9,9,0,-4,5,0.555555555555556
-1,-8,9,9,-1,-3,4,0.444444444444444
-1,-8,9,9,0,-3,6,0.666666666666667
-1,-8,9,9,-1,-2,3,0.333333333333333
-1,-8,9,9,0,-2,7,0.777777777777778
-1,-8,9,9,-1,-1,2,0.222222222222222
-1,-8,9,9,0,-1,8,0.888888888888889
-1,-8,9,9,-1,0,1,0.111111111111111
-1,-8,9,9,0,0,9,1
0,-8,9,9,0,-8,9,1
0,-8,9,9,0,-7,9,1
0,-8,9,9,0,-6,9,1
0,-8,9,9,0,-5,9,1
0,-8,9,9,0,-4,9,1
0,-8,9,9,0,-3,9,1
0,-8,9,9,0,-2,9,1
0,-8,9,9,0,-1,9,1
0,-8,9,9,0,0,9,1
1,-8,9,9,0,-8,1,0.111111111111111
1,-8,9,9,1,-8,9,1
1,-8,9,9,0,-7,2,0.222222222222222
1,-8,9,9,1,-7,8,0.888888888888889
1,-8,9,9,0,-6,3,0.333333333333333
1,-8,9,9,1,-6,7,0.777777777777778
1,-8,9,9,0,-5,4,0.444444444444444
1,-8,9,9,1,-5,6,0.666666666666667
1,-8,9,9,0,-4,5,0.555555555555556
1,-8,9,9,1,-4,5,0.555555555555556
1,-8,9,9,0,-3,6,0.666666666666667
1,-8,9,9,1,-3,4,0.444444444444444
1,-8,9,9,0,-2,7,0.777777777777778
1,-8,9,9,1,-2,3,0.333333333333333
1,-8,9,9,0,-1,8,0.888888888888889
1,-8,9,9,1,-1,2,0.222222222222222
1,-8,9,9,0,0,9,1
1,-8,9,9,1,0,1,0.111111111111111
-2,-7,9,36,-2,-7,36,1
-2,-7,9,36,-1,-7,8,0.222222222222222
-2,-7,9,36,0,-7,1,0.0277777777777778
-2,-7,9,36,-2,-6,28,0.777777777777778
-2,-7,9,36,-1,-6,14,0.388888888888889
-2,-7,9,36,0,-6,3,0.0833333333333333
-2,-7,9,36,-2,-5,21,0.583333333333333
-2,-7,9,36,-1,-5,18,0.5
-2,-7,9,36,0,-5,6,0.166666666666667
-2,-7,9,36,-2,-4,15,0.416666666666667
-2,-7,9,36,-1,-4,20,0.555555555555556
-2,-7,9,36,0,-4,10,0.277777777777778
-2,-7,9,36,-2,-3,10,0.277777777777778
-2,-7,9,36,-1,-3,20,0.555555555555556
-2,-7,9,36,0,-3,15,0.416666666666667
-2,-7,9,36,-2,-2,6,0.166666666666667
-2,-7,9,36,-1,-2,18,0.5
-2,-7,9,36,0,-2,21,0.583333333333333
-2,-7,9,36,-2,-1,3,0.0833333333333333
-2,-7,9,36,-1,-1,14,0.388888888888889
-2,-7,9,36,0,-1,28,0.777777777777778
-2,-7,9,36,-2,0,1,0.0277777777777778
-2,-7,9,36,-1,0,8,0.222222222222222
-2,-7,9,36,0,0,36,1
-1,-7,9,72,-1,-7,72,1
-1,-7,9,72,0,-7,9,0.125
-1,-7,9,72,-1,-6,63,0.875
-1,-7,9,72,0,-6,18,0.25
-1,-7,9,72,-1,-5,54,0.75
-1,-7,9,72,0,-5,27,0.375
-1,-7,9,72,-1,-4,45,0.625
-1,-7,9,72,0,-4,36,0.5
-1,-7,9,72,-1,-3,36,0.5
-1,-7,9,72,0,-3,45,0.625
-1,-7,9,72,-1,-2,27,0.375
-1,-7,9,72,0,-2,54,0.75
-1,-7,9,72,-1,-1,18,0.25
-1,-7,9,72,0,-1,63,0.875
-1,-7,9,72,-1,0,9,0.125
-1,-7,9,72,0,0,72,1
0,-7,9,117,0,-8,1,0.00854700854700855
0,-7,9,117,-1,-7,8,0.0683760683760684
0,-7,9,117,0,-7,117,1
0,-7,9,117,1,-7,8,0.0683760683760684
